"id","term","category","weight"
1,"jaja","NEG_P",-0.129967925081
2,":(","NEG_P",1.40572625255
3,":)","NEG_P",-0.109880516993
4,"<newline>","NEG_P",-0.0369604958554
5,"vuestro","NEG_P",-0.0888075639233
6,"que la","NEG_P",-0.0483707790703
7,"por supuesto","NEG_P",-0.0450097343671
8,"ver","NEG_P",-0.000639905499265
9,"que poner","NEG_P",-0.234727077459
10,"otra","NEG_P",0.37442385513
11,"0","NEG_P",0.0652484413541
12,"veo","NEG_P",0.201591146497
13,"te","NEG_P",0.09219351613
14,"risa","NEG_P",-0.0102956124521
15,"#vamosunicaja","NEG_P",-0.121903866016
16,"jajajaj","NEG_P",-0.407548915795
17,"que ?","NEG_P",0.0116967467738
18,"edad","NEG_P",-0.075402505354
19,"peor","NEG_P",0.731656414709
20,"http://t.co","NEG_P",-0.0374598918137
21,"q","NEG_P",0.197095710697
22,"mundo y","NEG_P",1.06435231471
23,"habrá","NEG_P",0.113234088638
24,"tenía","NEG_P",-0.43608510646
25,"pasa","NEG_P",0.242717239533
26,"me ha","NEG_P",0.0849753522255
27,"y lo","NEG_P",-0.00239347178785
28,"boca","NEG_P",0.12938464946
29,"me he","NEG_P",-0.161309929927
30,"que estoy","NEG_P",-0.0875903225529
31,"video","NEG_P",-0.175864935615
32,"como me","NEG_P",0.362312145939
33,"gilipollas","NEG_P",1.58545825682
34,"no le","NEG_P",0.117859363861
35,"cómic","NEG_P",-0.0443085102856
36,"con los","NEG_P",-0.253166473497
37,"y luego","NEG_P",0.498374109266
38,"sobre","NEG_P",-0.0328080335912
39,"para mí","NEG_P",-0.0882787089903
40,"aburrimiento","NEG_P",0.828671591
41,"vamos","NEG_P",-0.0869319541258
42,"les","NEG_P",0.419647944565
43,"aunque","NEG_P",-0.15380332496
44,"día","NEG_P",0.120298938633
45,"instituto","NEG_P",0.691215834323
46,"rajoy","NEG_P",0.276409008663
47,"sabe","NEG_P",-0.279508400829
48,"gracias por","NEG_P",-0.170464447119
49,"a ser","NEG_P",-0.120219248181
50,"semana","NEG_P",-0.0538055435124
51,"buenas","NEG_P",-0.300633916084
52,"¡","NEG_P",-0.228866422682
53,"siempre","NEG_P",0.183924557434
54,"o a","NEG_P",0.202215904674
55,"ver a","NEG_P",-0.161142450656
56,"vivir","NEG_P",0.142552012184
57,"todas","NEG_P",0.0926005550776
58,"tienes que","NEG_P",-0.0213827211473
59,"precioso","NEG_P",-0.296907188992
60,"te quiero","NEG_P",-0.784126219833
61,"con las","NEG_P",0.44278062178
62,"cojones","NEG_P",0.632374365094
63,"mira","NEG_P",0.131853328031
64,"preciosa","NEG_P",-0.0754407650678
65,"orgullosa","NEG_P",-0.0994065814467
66,"vuelta","NEG_P",0.0739327005316
67,"creo que","NEG_P",0.306728061443
68,"verano","NEG_P",0.0991119484278
69,"me","NEG_P",0.211137363436
70,"yo soy","NEG_P",0.0333075278043
71,"lo que","NEG_P",-0.00258821186385
72,"mi","NEG_P",-0.0359357287148
73,"malo","NEG_P",0.318833207532
74,"sé","NEG_P",-0.10073556335
75,"del","NEG_P",0.010257843318
76,"era","NEG_P",-0.0588491435266
77,"cabeza","NEG_P",0.397591322989
78,"política","NEG_P",0.128564467421
79,"mala","NEG_P",0.196742376971
