"term","category","weight"
"hate","PRESENT_OR_NOT","0.178097840537"
"all the","PRESENT_OR_NOT","0.0111579547923"
"every","PRESENT_OR_NOT","-0.250429408255"
"school","PRESENT_OR_NOT","-0.0860290720118"
". lmao","PRESENT_OR_NOT","-0.0076388148217"
"me out","PRESENT_OR_NOT","0.0649362751006"
"tired","PRESENT_OR_NOT","0.123453377714"
"am .","PRESENT_OR_NOT","-0.0392286621844"
"new","PRESENT_OR_NOT","-0.0155768991472"
"never","PRESENT_OR_NOT","0.0152289108466"
"here","PRESENT_OR_NOT","-0.0247784843626"
"i'm","PRESENT_OR_NOT","0.0689838683497"
"<3","PRESENT_OR_NOT","0.0220489891323"
"me","PRESENT_OR_NOT","-0.0757119109052"
"my","PRESENT_OR_NOT","-0.0492446196856"
"want","PRESENT_OR_NOT","0.0774596618342"
"happy birthday","PRESENT_OR_NOT","0.0440905905046"
"how","PRESENT_OR_NOT","0.0279230089311"
"have to","PRESENT_OR_NOT","0.142470922614"
"after","PRESENT_OR_NOT","-0.391894215434"
"before","PRESENT_OR_NOT","-0.138458605577"
",","PRESENT_OR_NOT","0.0353801005412"
"then","PRESENT_OR_NOT","-0.258566686738"
"them","PRESENT_OR_NOT","0.0143543012349"
"break","PRESENT_OR_NOT","-0.343420359729"
"they","PRESENT_OR_NOT","-0.00753096510854"
"went","PRESENT_OR_NOT","-0.0658368926027"
"rt","PRESENT_OR_NOT","0.294951640453"
"have a","PRESENT_OR_NOT","0.281082122187"
"got","PRESENT_OR_NOT","-0.292360145145"
"days","PRESENT_OR_NOT","-0.528585057767"
"girls","PRESENT_OR_NOT","0.0515485983909"
"took","PRESENT_OR_NOT","-0.241931309899"
"a little","PRESENT_OR_NOT","0.0604085560558"
"matter","PRESENT_OR_NOT","0.0201050517693"
"feeling","PRESENT_OR_NOT","0.0430778105502"
"spent","PRESENT_OR_NOT","-0.120936206371"
"seen","PRESENT_OR_NOT","-0.22397148978"
"! i","PRESENT_OR_NOT","-0.0613496677838"
"-","PRESENT_OR_NOT","0.0201289923879"
"i don't","PRESENT_OR_NOT","0.068214102946"
". ""","PRESENT_OR_NOT","-0.0255145816809"
"! !","PRESENT_OR_NOT","0.0743675212245"
"had to","PRESENT_OR_NOT","-0.133745230973"
"has a","PRESENT_OR_NOT","0.0947959924455"
"came","PRESENT_OR_NOT","-0.221095047006"
"it .","PRESENT_OR_NOT","0.0285679495484"
"! http://t.co","PRESENT_OR_NOT","-0.206197417559"
"about","PRESENT_OR_NOT","-0.00419772126534"
"10","PRESENT_OR_NOT","-0.0538802371023"
"da","PRESENT_OR_NOT","0.156776374187"
"said","PRESENT_OR_NOT","-0.163452117633"
"there's","PRESENT_OR_NOT","0.0753896372593"
"bout to","PRESENT_OR_NOT","-0.103851161694"
"wtf","PRESENT_OR_NOT","-0.102741655882"
"been","PRESENT_OR_NOT","-0.274665492896"
"life","PRESENT_OR_NOT","0.156611556445"
"has","PRESENT_OR_NOT","0.0203617278269"
"is","PRESENT_OR_NOT","0.276979742893"
"im","PRESENT_OR_NOT","0.015013963468"
"in","PRESENT_OR_NOT","-0.107269344897"
"s / o","PRESENT_OR_NOT","0.0373988263208"
"the","PRESENT_OR_NOT","-0.0811159113566"
"left","PRESENT_OR_NOT","-0.207363344669"
"just","PRESENT_OR_NOT","-0.148012255464"
"thanks","PRESENT_OR_NOT","-0.0100392683694"
"yes","PRESENT_OR_NOT","-0.013101392434"
"had","PRESENT_OR_NOT","-0.343306513243"
"on .","PRESENT_OR_NOT","0.00299286642635"
"at my","PRESENT_OR_NOT","0.00130357518196"
"gave","PRESENT_OR_NOT","-0.2403794714"
"is a","PRESENT_OR_NOT","0.12519730043"
"night","PRESENT_OR_NOT","-0.509647576773"
"i had","PRESENT_OR_NOT","0.224799493943"
"right","PRESENT_OR_NOT","0.0541890418536"
"deal","PRESENT_OR_NOT","-0.0499214262864"
"for","PRESENT_OR_NOT","-0.134709609907"
"get on","PRESENT_OR_NOT","-0.0259769601595"
"everything","PRESENT_OR_NOT","0.0103827372193"
"o","PRESENT_OR_NOT","0.00284891614379"
"i am","PRESENT_OR_NOT","0.0478468080082"
"two","PRESENT_OR_NOT","-0.137518434668"
"down","PRESENT_OR_NOT","-0.0210121047686"
"music","PRESENT_OR_NOT","0.263977595242"
"was","PRESENT_OR_NOT","-0.637257431596"
"happy","PRESENT_OR_NOT","0.337363403597"
"head","PRESENT_OR_NOT","-0.038499382447"
"tell","PRESENT_OR_NOT","-0.116727661001"
"later","PRESENT_OR_NOT","-0.138347003117"
"it was","PRESENT_OR_NOT","-0.295015277891"
"though ,","PRESENT_OR_NOT","0.309396352882"
"no","PRESENT_OR_NOT","0.111149402021"
"test","PRESENT_OR_NOT","-0.20666327413"
"weekend","PRESENT_OR_NOT","-0.481000477661"
"time","PRESENT_OR_NOT","-0.0498388727101"
":(","PRESENT_OR_NOT","-0.00157198033865"
":)","PRESENT_OR_NOT","-0.0759368585097"
". i'm","PRESENT_OR_NOT","-0.0310431887732"
"/","PRESENT_OR_NOT","0.0178414701018"
"finally","PRESENT_OR_NOT","-0.504555170047"
"text","PRESENT_OR_NOT","-0.0249331614265"
"i can't","PRESENT_OR_NOT","0.0506937111989"
"did","PRESENT_OR_NOT","-0.31600805694"
"soooo","PRESENT_OR_NOT","-0.108582829222"
"says","PRESENT_OR_NOT","-0.063268904518"
"waiting for","PRESENT_OR_NOT","0.593609993661"
"wait","PRESENT_OR_NOT","-0.479448303192"
"so much","PRESENT_OR_NOT","-0.173898305184"
"love","PRESENT_OR_NOT","0.154799987896"
"today","PRESENT_OR_NOT","-0.240579032839"
"car","PRESENT_OR_NOT","-0.0538905477299"
"can","PRESENT_OR_NOT","-0.00857410345514"
"fuck","PRESENT_OR_NOT","0.0117788742329"
"heard","PRESENT_OR_NOT","-0.214602552555"
"watching","PRESENT_OR_NOT","0.0811660921255"
"1","PRESENT_OR_NOT","-0.104374143873"
"till","PRESENT_OR_NOT","-0.104458763739"
"sunday","PRESENT_OR_NOT","-0.43917760455"
"guys","PRESENT_OR_NOT","0.0964039031495"
"grow","PRESENT_OR_NOT","0.0275038223234"
"all my","PRESENT_OR_NOT","-0.0838748070097"
"cold","PRESENT_OR_NOT","0.177659696353"
"still","PRESENT_OR_NOT","0.150958004858"
".... but","PRESENT_OR_NOT","0.0705681880878"
"thank","PRESENT_OR_NOT","-0.167383580363"
"the world","PRESENT_OR_NOT","0.0144272257739"
"3","PRESENT_OR_NOT","-0.275467506109"
"not","PRESENT_OR_NOT","-0.0328716652423"
"now","PRESENT_OR_NOT","0.0585761548603"
"day !","PRESENT_OR_NOT","0.238390673992"
"year","PRESENT_OR_NOT","-0.207992183681"
"care","PRESENT_OR_NOT","0.0807858814084"
"first","PRESENT_OR_NOT","-0.216212943033"
"tomorrow","PRESENT_OR_NOT","-0.977217579817"
"anyone","PRESENT_OR_NOT","-0.038430642067"
"2","PRESENT_OR_NOT","-0.205433794443"
"get it","PRESENT_OR_NOT","0.126206383196"
"eyes","PRESENT_OR_NOT","0.164074788514"
"that","PRESENT_OR_NOT","-0.0231187928767"
"13","PRESENT_OR_NOT","-0.116703527019"
"bored","PRESENT_OR_NOT","0.501394974836"
"were","PRESENT_OR_NOT","-0.203670327943"
"and","PRESENT_OR_NOT","0.0277708373918"
"say","PRESENT_OR_NOT","0.178215421671"
"saw","PRESENT_OR_NOT","-0.37886491469"
"any","PRESENT_OR_NOT","0.0882354604686"
"have the","PRESENT_OR_NOT","0.168496317405"
"take","PRESENT_OR_NOT","-0.184177249866"
"in my","PRESENT_OR_NOT","-0.0214315354903"
"going","PRESENT_OR_NOT","-0.311585817956"
"get","PRESENT_OR_NOT","-0.166966187659"
"cannot","PRESENT_OR_NOT","0.168074402854"
"morning","PRESENT_OR_NOT","-0.130263193689"
"again ...","PRESENT_OR_NOT","0.243292702114"
"come","PRESENT_OR_NOT","-0.272274759219"
"s","PRESENT_OR_NOT","0.0533445931749"
"can't","PRESENT_OR_NOT","0.0452890552915"
"wants","PRESENT_OR_NOT","0.182407169407"
